2026-06-24T18:22:45.284Z | POST | /api/auth/login | 401 | 120ms
2026-06-24T18:22:46.610Z | POST | /api/auth/login | 401 | 124ms
2026-06-24T18:22:47.466Z | POST | /api/auth/login | 401 | 131ms
2026-06-24T18:22:48.255Z | POST | /api/auth/login | 401 | 127ms
2026-06-24T18:22:49.411Z | POST | /api/auth/login | 401 | 130ms
2026-06-24T18:22:50.699Z | POST | /api/auth/login | 401 | 119ms
2026-06-24T18:22:51.698Z | POST | /api/auth/login | 401 | 109ms
2026-06-24T18:22:52.853Z | POST | /api/auth/login | 401 | 133ms
2026-06-24T18:22:54.030Z | POST | /api/auth/login | 401 | 124ms
2026-06-24T18:23:05.416Z | POST | /api/auth/login | 401 | 112ms
2026-06-24T18:23:06.511Z | POST | /api/auth/login | 401 | 131ms
2026-06-24T18:23:07.700Z | POST | /api/auth/login | 401 | 126ms
2026-06-24T18:24:19.117Z | POST | /api/auth/register | 409 | 7ms
2026-06-24T18:24:24.568Z | POST | /api/auth/register | 201 | 179ms
2026-06-24T18:24:39.076Z | POST | /api/auth/login | 401 | 115ms
2026-06-24T18:24:42.651Z | POST | /api/auth/login | 200 | 174ms
2026-06-24T18:25:30.938Z | POST | /api/auth/logout | 200 | 30ms
2026-06-24T18:25:33.678Z | POST | /api/auth/register | 400 | 5ms
2026-06-24T18:25:36.366Z | GET | /api/auth/me | 401 | 3ms
2026-06-24T18:25:38.646Z | POST | /api/auth/register | 400 | 3ms
2026-06-24T18:25:48.699Z | POST | /api/auth/register | 400 | 3ms
2026-06-24T18:26:01.356Z | POST | /api/auth/register | 400 | 32ms
2026-06-24T18:29:17.579Z | POST | /api/auth/register | 400 | 30ms
2026-06-24T18:29:41.419Z | POST | /api/auth/register | 400 | 12ms
2026-06-24T18:30:22.417Z | POST | /api/auth/register | 400 | 6ms
2026-06-24T18:30:26.733Z | POST | /api/auth/register | 400 | 5ms
2026-06-24T18:31:16.363Z | POST | /api/auth/register | 201 | 285ms
2026-06-24T18:34:13.258Z | GET | /api/auth/me | 401 | 29ms
2026-06-24T18:34:34.162Z | GET | /api/auth/me | 401 | 6ms
2026-06-24T18:38:38.549Z | POST | /api/auth/register | 400 | 16ms
2026-06-24T18:38:50.758Z | POST | /api/auth/register | 400 | 6ms
2026-06-24T18:38:59.213Z | POST | /api/auth/register | 400 | 7ms
2026-06-24T18:39:08.760Z | POST | /api/auth/register | 400 | 6ms
2026-06-24T18:39:18.755Z | POST | /api/auth/register | 400 | 6ms
2026-06-24T18:39:36.453Z | POST | /api/auth/register | 201 | 214ms
2026-06-24T18:40:16.390Z | POST | /api/auth/register | 409 | 10ms
2026-06-24T18:41:15.182Z | POST | /api/auth/login | 401 | 5ms
2026-06-24T18:41:19.064Z | POST | /api/auth/login | 401 | 140ms
2026-06-24T18:41:23.705Z | POST | /api/auth/login | 401 | 7ms
2026-06-24T18:41:26.705Z | POST | /api/auth/login | 200 | 142ms
